# Polymarket Wallets - Top 250 Best (All Wallets)
# Format: address,winrate%,trades,daily_frequency,pnl_total,status
# Generated by Polymarket Notifier
# Includes: All wallets sorted by winrate (accepted + rejected)

# === 100% WINRATE WALLETS ===
  1. 0xed88d69d689f3e2f6d1f77b2e35d089c581df3c4 | Winrate: 100.0% | Trades: 164 | Daily: 18.53 | PnL: $10,324,334.88 | Status: accepted
 44. 0x1e3a3d3b980255bab982d366ca1fa2b09c104033 | Winrate: 100.0% | Trades: 60 | Daily: 7.61 | PnL: $197,247.98 | Status: accepted
 45. 0x4231e98f3b1044c3b34bf19cb27b9441d157f63e | Winrate: 100.0% | Trades: 1716 | Daily: 100.00 | PnL: $185,239.09 | Status: accepted
 46. 0x9fad8308ef6b6ed5320e53a290a3bd4ad91f5a9f | Winrate: 100.0% | Trades: 602 | Daily: 16.59 | PnL: $152,722.88 | Status: accepted
 47. 0x71971342cb4c2555f60366ac62abdcdd1a1d14c8 | Winrate: 100.0% | Trades: 152 | Daily: 28.80 | PnL: $151,442.43 | Status: accepted
 48. 0x842dabdbf420acea760af817fe7c85a249179d4d | Winrate: 100.0% | Trades: 2214 | Daily: 100.00 | PnL: $150,187.53 | Status: accepted
 49. 0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1 | Winrate: 100.0% | Trades: 6925 | Daily: 100.00 | PnL: $107,261.00 | Status: accepted
 50. 0x6239c6fa473f967d46dab883a09dd327be32c24f | Winrate: 100.0% | Trades: 2652 | Daily: 3.46 | PnL: $93,821.41 | Status: accepted
 51. 0x8f7bb1d97c28278e28943b8481f1a1651605154b | Winrate: 100.0% | Trades: 768 | Daily: 7.22 | PnL: $87,441.25 | Status: accepted
 52. 0x1ff49fdcb6685c94059b65620f43a683be0ce7a5 | Winrate: 100.0% | Trades: 13716 | Daily: 100.00 | PnL: $79,598.78 | Status: accepted
 53. 0x9155e8cf81a3fb557639d23d43f1528675bcfcad | Winrate: 100.0% | Trades: 8070 | Daily: 100.00 | PnL: $64,079.86 | Status: accepted
 54. 0x4b92a2d2fd3807981a5dddae7315122530a542e6 | Winrate: 100.0% | Trades: 487 | Daily: 20.90 | PnL: $61,816.49 | Status: accepted
 55. 0x1a4249cd596a8e51b267dfe3c56cacc25815a00b | Winrate: 100.0% | Trades: 4232 | Daily: 100.00 | PnL: $59,343.87 | Status: accepted
 56. 0x617f1f4166204111bd89d090c19f300e12395631 | Winrate: 100.0% | Trades: 32 | Daily: 31.00 | PnL: $59,299.50 | Status: rejected
 57. 0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4 | Winrate: 100.0% | Trades: 1762 | Daily: 17.83 | PnL: $55,155.97 | Status: accepted
 58. 0x76ed2caa9604f3a3b3770d47161190d871f1fa48 | Winrate: 100.0% | Trades: 120 | Daily: 10.46 | PnL: $48,008.09 | Status: accepted
 59. 0x70c09e0b31b57d80253426e60c7f7a972083ef89 | Winrate: 100.0% | Trades: 30 | Daily: 32.00 | PnL: $45,168.00 | Status: rejected
 60. 0xc631d9d610b9939f0b915b1916864e9b806876f6 | Winrate: 100.0% | Trades: 8562 | Daily: 100.00 | PnL: $44,333.51 | Status: accepted
 61. 0xec5d271addfd4d224e8974a45dd2183aef5add4e | Winrate: 100.0% | Trades: 1895 | Daily: 100.00 | PnL: $40,390.95 | Status: accepted
 62. 0x4bc26247abd4c4f908c786c4873acd49beb2597a | Winrate: 100.0% | Trades: 173 | Daily: 13.22 | PnL: $38,653.50 | Status: accepted
 63. 0x7485d661b858b117a66e1b4fcbecfaea87ac1393 | Winrate: 100.0% | Trades: 8947 | Daily: 100.00 | PnL: $37,465.08 | Status: accepted
 64. 0xccc1c17bb4a9bf6659508ba8bfe450d4671d1539 | Winrate: 100.0% | Trades: 14 | Daily: 0.00 | PnL: $33,744.00 | Status: rejected
 65. 0x577346971f8d0a1338bc340a7f540a0b6f1ddc71 | Winrate: 100.0% | Trades: 2366 | Daily: 100.00 | PnL: $33,329.56 | Status: accepted
 66. 0x4ef0194e8cfd5617972665826f402836ac5f15a0 | Winrate: 100.0% | Trades: 7371 | Daily: 100.00 | PnL: $32,819.96 | Status: accepted
 67. 0x565c29a430e7e835f81196a1ca2bdae928ac467e | Winrate: 100.0% | Trades: 3072 | Daily: 100.00 | PnL: $32,402.64 | Status: accepted
 68. 0x0f863d92dd2b960e3eb6a23a35fd92a91981404e | Winrate: 100.0% | Trades: 7058 | Daily: 100.00 | PnL: $31,171.32 | Status: accepted
 69. 0x7ac973b11b599d60bb5f4e0db7b93a932629d652 | Winrate: 100.0% | Trades: 13 | Daily: 16.00 | PnL: $30,918.50 | Status: rejected
 70. 0x0a61e40ebf154825b164382cd932ece781cf2c6b | Winrate: 100.0% | Trades: 206 | Daily: 2.04 | PnL: $26,381.26 | Status: accepted
 71. 0xf247584e41117bbbe4cc06e4d2c95741792a5216 | Winrate: 100.0% | Trades: 3882 | Daily: 100.00 | PnL: $25,560.70 | Status: accepted
 72. 0x557bed924a1bb6f62842c5742d1dc789b8d480d4 | Winrate: 100.0% | Trades: 960 | Daily: 100.00 | PnL: $25,150.79 | Status: accepted
 73. 0xcd91a549956854fdc38efad7e80ff5da8f5432b8 | Winrate: 100.0% | Trades: 4939 | Daily: 100.00 | PnL: $22,517.87 | Status: accepted
 74. 0xcbb5623096b78505a26524e642c5c9066e585ed9 | Winrate: 100.0% | Trades: 349 | Daily: 2.13 | PnL: $22,467.81 | Status: accepted
 75. 0xcfcaa0ac3eeca8c0309133d43b2ea4a9175c68fc | Winrate: 100.0% | Trades: 323 | Daily: 8.85 | PnL: $21,602.03 | Status: accepted
 76. 0x5f4d4927ea3ca72c9735f56778cfbb046c186be0 | Winrate: 100.0% | Trades: 5484 | Daily: 100.00 | PnL: $21,577.22 | Status: accepted
 77. 0x1d949489f736378cbde40db18c093c5cff459100 | Winrate: 100.0% | Trades: 266 | Daily: 100.00 | PnL: $21,100.70 | Status: accepted
 78. 0xa540e7ff75ef4bf7ebc6c793cbabe87cee970b43 | Winrate: 100.0% | Trades: 3177 | Daily: 100.00 | PnL: $20,771.45 | Status: accepted
 79. 0xe8a8cc8877e2af6712174d2d2e8745f4f32ea48e | Winrate: 100.0% | Trades: 45 | Daily: 0.06 | PnL: $20,661.92 | Status: rejected
 80. 0x908aad3bfbd70410e73f1db6a3e46c2a917cad16 | Winrate: 100.0% | Trades: 1502 | Daily: 100.00 | PnL: $19,572.44 | Status: accepted
 81. 0xca85f4b9e472b542e1df039594eeaebb6d466bf2 | Winrate: 100.0% | Trades: 8391 | Daily: 100.00 | PnL: $17,083.58 | Status: accepted
 82. 0xf10f86f22f2489a631d75371ce0f8d821957004d | Winrate: 100.0% | Trades: 2359 | Daily: 23.15 | PnL: $16,759.37 | Status: accepted
 83. 0x8a091656e5f4c6bc4fdf37b2585be0235f68e317 | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $16,129.03 | Status: rejected
 84. 0x169a6428a5e5354fc256b66c5465231f918dc46a | Winrate: 100.0% | Trades: 92 | Daily: 4.95 | PnL: $14,565.31 | Status: accepted
 85. 0x08052d80ffe580e132fa94d66619f80aff2b31c0 | Winrate: 100.0% | Trades: 80 | Daily: 26.61 | PnL: $12,697.24 | Status: accepted
 86. 0x537494c54dee9162534675712f2e625c9713042e | Winrate: 100.0% | Trades: 5337 | Daily: 100.00 | PnL: $11,815.19 | Status: accepted
 87. 0xde0c629bc1e98aacbba3e1152a42f9348cd009a7 | Winrate: 100.0% | Trades: 3507 | Daily: 100.00 | PnL: $11,503.89 | Status: accepted
 88. 0xe6cbefad4e8c1d286f47e84e333b4075c2ea2b12 | Winrate: 100.0% | Trades: 538 | Daily: 100.00 | PnL: $10,746.33 | Status: accepted
 89. 0xe35a260d16a4dfb68e6df8822628272694367c26 | Winrate: 100.0% | Trades: 339 | Daily: 100.00 | PnL: $8,679.79 | Status: accepted
 90. 0xc6e2f4259e4c6e4da9007fa7175f0d8a2a7611d1 | Winrate: 100.0% | Trades: 3025 | Daily: 53.96 | PnL: $8,641.75 | Status: accepted
 91. 0xbed0d1ec25fa20b268f9ea66eb145d1262f73c7d | Winrate: 100.0% | Trades: 1584 | Daily: 59.10 | PnL: $8,079.27 | Status: accepted
 92. 0x24234df874a7ee6256d5a195fd095f49ff7b4137 | Winrate: 100.0% | Trades: 453 | Daily: 100.00 | PnL: $6,624.60 | Status: accepted
 93. 0x0d93b6645d7c7730dea3e8912d1ef1618ead8cbe | Winrate: 100.0% | Trades: 286 | Daily: 4.76 | PnL: $5,463.32 | Status: accepted
 94. 0x8b4410e877fa826c7e986dfb30a5be73d72163fb | Winrate: 100.0% | Trades: 1023 | Daily: 36.25 | PnL: $5,329.19 | Status: accepted
 95. 0xe7093c9bde3c74f06fabd65387450c8fa3169d39 | Winrate: 100.0% | Trades: 97 | Daily: 15.62 | PnL: $4,834.26 | Status: accepted
 96. 0x5b87d38577b2811179b7aa8f2cddc65d7046b6bd | Winrate: 100.0% | Trades: 113 | Daily: 100.00 | PnL: $4,124.77 | Status: accepted
 97. 0xc95c799fc7f181bce06f8a5677f300efea56cef3 | Winrate: 100.0% | Trades: 544 | Daily: 1.82 | PnL: $3,900.87 | Status: accepted
 98. 0x605d80660ed7cc251961373123f152e5fcbc52de | Winrate: 100.0% | Trades: 71 | Daily: 100.00 | PnL: $3,784.24 | Status: accepted
 99. 0xadd46422f82bd37a7086806e0c6d0183d6b435de | Winrate: 100.0% | Trades: 907 | Daily: 36.05 | PnL: $3,772.11 | Status: accepted
100. 0x25bfc5364d26671ee6620fbb9f3cd13a69bf7a56 | Winrate: 100.0% | Trades: 686 | Daily: 20.89 | PnL: $3,647.22 | Status: accepted
101. 0xf1f7df94417dbfdbf8fe4924580817da1e3ffa11 | Winrate: 100.0% | Trades: 263 | Daily: 1.35 | PnL: $3,385.11 | Status: accepted
102. 0x691996566d70f14a175a39470c7935f09336d27b | Winrate: 100.0% | Trades: 279 | Daily: 61.49 | PnL: $3,167.17 | Status: accepted
103. 0xc8ee861a982a8fc53942b063f7f0e1785baaefe0 | Winrate: 100.0% | Trades: 111 | Daily: 66.75 | PnL: $2,641.25 | Status: accepted
104. 0x1ccc04c082be43f715b226c7548cd0a3553297eb | Winrate: 100.0% | Trades: 176 | Daily: 33.08 | PnL: $2,578.64 | Status: accepted
105. 0x4fa44d1869fff693a9016dcfa7a8a13a90efa1bf | Winrate: 100.0% | Trades: 228 | Daily: 100.00 | PnL: $1,922.05 | Status: accepted
106. 0x66a1db98713015330a82f08273b682bee77e80d9 | Winrate: 100.0% | Trades: 2892 | Daily: 7.60 | PnL: $1,830.98 | Status: accepted
107. 0x60fb7e419b16a8dbb88d60144afd32eb264048ef | Winrate: 100.0% | Trades: 86 | Daily: 26.74 | PnL: $1,825.58 | Status: accepted
108. 0xddbcb1c15e19f2f11aa79e5f58395bffcb2e28c3 | Winrate: 100.0% | Trades: 259 | Daily: 3.85 | PnL: $1,584.47 | Status: accepted
109. 0xf1f99d1b00704c0a6c767d9ff224025521a401b0 | Winrate: 100.0% | Trades: 9 | Daily: 0.00 | PnL: $1,533.17 | Status: rejected
110. 0x9b89a39656c2ec63311948f4b6c4adeb569599e2 | Winrate: 100.0% | Trades: 254 | Daily: 100.00 | PnL: $1,516.32 | Status: accepted
111. 0x3185e08ab54a7e2243231eee1e4ebd1ce023937a | Winrate: 100.0% | Trades: 87 | Daily: 0.71 | PnL: $1,481.76 | Status: accepted
112. 0x30f891cc7ef02c536de1026acdcc95464127b824 | Winrate: 100.0% | Trades: 111 | Daily: 4.17 | PnL: $1,353.91 | Status: accepted
113. 0x22c878588fae7bcc4ad0d81d872dfcc101d1d3f3 | Winrate: 100.0% | Trades: 450 | Daily: 100.00 | PnL: $1,202.32 | Status: accepted
114. 0x227238f7b4c160a4e07207e0d8a18e90c4832e9c | Winrate: 100.0% | Trades: 1891 | Daily: 13.15 | PnL: $1,075.53 | Status: accepted
115. 0x3de6af3ba7079b10feba44acbfcb80aba775405c | Winrate: 100.0% | Trades: 141 | Daily: 16.04 | PnL: $1,038.49 | Status: accepted
116. 0x53f408364f77b796ffcfa905ea85fb095fd70e38 | Winrate: 100.0% | Trades: 71 | Daily: 2.49 | PnL: $1,025.10 | Status: accepted
117. 0xe1a95f4b8f48916030ae84955760fa64da5c428d | Winrate: 100.0% | Trades: 58 | Daily: 97.00 | PnL: $957.08 | Status: accepted
118. 0x6a7640ee117e5192f2620c5e2e3dedbe5ede51b7 | Winrate: 100.0% | Trades: 261 | Daily: 6.62 | PnL: $916.15 | Status: accepted
119. 0x38eb932e7ae42b4202b5bfeac3467f758164a211 | Winrate: 100.0% | Trades: 90 | Daily: 1.12 | PnL: $876.73 | Status: accepted
120. 0x6c1f3cbe8e78d2b8dbf35dcbb0d5945e32606823 | Winrate: 100.0% | Trades: 76 | Daily: 2.14 | PnL: $809.70 | Status: accepted
121. 0xf6720ad10c81a0be3b5907bca774bf1ca5c2c3c4 | Winrate: 100.0% | Trades: 170 | Daily: 22.12 | PnL: $782.94 | Status: accepted
122. 0x80ab6ab7646efb38367ea5a180f29042fab16c7a | Winrate: 100.0% | Trades: 333 | Daily: 100.00 | PnL: $704.52 | Status: accepted
123. 0x4d86d2e2f8c9a5d824aaa8d0b39d8629839153ce | Winrate: 100.0% | Trades: 320 | Daily: 100.00 | PnL: $658.24 | Status: accepted
124. 0x6b46a3f6764c122a5f3c733684e19890c0334f6e | Winrate: 100.0% | Trades: 78 | Daily: 26.06 | PnL: $646.53 | Status: accepted
125. 0x65b0c6eaf084219d72167739cdb46aa0aed72875 | Winrate: 100.0% | Trades: 519 | Daily: 100.00 | PnL: $635.03 | Status: accepted
126. 0xb1e9b1c0d291d47f3e777b0e4b1954155faff4a5 | Winrate: 100.0% | Trades: 472 | Daily: 49.92 | PnL: $621.89 | Status: accepted
127. 0x55173bc7f6e52f45ec05fd14fbc6f34e81b6e334 | Winrate: 100.0% | Trades: 1811 | Daily: 100.00 | PnL: $546.01 | Status: accepted
128. 0xf44b6d6918ab780f6caf5a643997b4e36ac9c2b3 | Winrate: 100.0% | Trades: 8 | Daily: 0.05 | PnL: $481.41 | Status: rejected
129. 0x369956d03aba746f4fa3ec9f17cefee0375f80d1 | Winrate: 100.0% | Trades: 122 | Daily: 6.31 | PnL: $460.45 | Status: accepted
130. 0x4292665eeebef323c3cb0b21ef10e66b0bf777d1 | Winrate: 100.0% | Trades: 86 | Daily: 0.32 | PnL: $429.48 | Status: accepted
131. 0xade7126ef6be560bde90c892a702acd1662a9d34 | Winrate: 100.0% | Trades: 333 | Daily: 14.21 | PnL: $399.90 | Status: accepted
132. 0x3abe0b6b6b6dae718e40ef1eb16803a0380fb676 | Winrate: 100.0% | Trades: 76 | Daily: 2.11 | PnL: $394.31 | Status: accepted
133. 0x671a1feca9938c55f57e77c1ac9d85c9e29a0a6d | Winrate: 100.0% | Trades: 119 | Daily: 20.83 | PnL: $380.82 | Status: accepted
134. 0x655e8557f9848054945ed050467125349589bf3a | Winrate: 100.0% | Trades: 44 | Daily: 17.97 | PnL: $371.36 | Status: rejected
135. 0x24431b45390dfc93c06d90940593e6ab8db0354c | Winrate: 100.0% | Trades: 64 | Daily: 8.90 | PnL: $339.49 | Status: accepted
136. 0x6be177e9300cd921f7aafb9e674e0f605fad36d8 | Winrate: 100.0% | Trades: 92 | Daily: 2.03 | PnL: $324.67 | Status: accepted
137. 0x6c59c14cc8bb48b8c9cf348bb3bb5c49c3246e7e | Winrate: 100.0% | Trades: 42 | Daily: 59.59 | PnL: $308.76 | Status: rejected
138. 0x970a9581c2c008cfd17095a86128e422ec704d1e | Winrate: 100.0% | Trades: 179 | Daily: 11.29 | PnL: $247.56 | Status: accepted
139. 0x2b85b514345f664d4e7d432a8fa32cc8e6f94118 | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $213.16 | Status: rejected
140. 0x685f738bb000053daa6d44b797468cc6a69bda8d | Winrate: 100.0% | Trades: 119 | Daily: 0.27 | PnL: $176.39 | Status: accepted
141. 0x2f9bd82fd456f6b659542f92186e4706b4ba53f8 | Winrate: 100.0% | Trades: 156 | Daily: 72.71 | PnL: $161.50 | Status: accepted
142. 0xc69a043a20e5879386de8142fe0e085fe8c5e9f7 | Winrate: 100.0% | Trades: 155 | Daily: 3.21 | PnL: $151.50 | Status: accepted
143. 0x31974a9cf9e06cc1cf84e22a4955c69d7415b9ac | Winrate: 100.0% | Trades: 829 | Daily: 21.93 | PnL: $147.48 | Status: accepted
144. 0xa9d8fa0aa2aff4ac6555c8364d0b020c6f7804b3 | Winrate: 100.0% | Trades: 174 | Daily: 25.10 | PnL: $132.60 | Status: accepted
145. 0x2655f56736a6b79fda819de161d08d3a10a5eaa4 | Winrate: 100.0% | Trades: 2 | Daily: 0.00 | PnL: $124.50 | Status: rejected
146. 0xfde08f1b4acf000ea6de1f9990e88b6cae74c132 | Winrate: 100.0% | Trades: 89 | Daily: 41.26 | PnL: $121.33 | Status: accepted
147. 0xdb9f99f2d5cc9d5b4920f9b042d6b4a0ded0cce2 | Winrate: 100.0% | Trades: 74 | Daily: 0.15 | PnL: $120.28 | Status: accepted
148. 0xd73fc0ce65990cb53134ad645a2aafbc7df6ee84 | Winrate: 100.0% | Trades: 92 | Daily: 100.00 | PnL: $112.30 | Status: accepted
149. 0xcfee75533932a5aa0dfc9a2ce5f5d0e0a5821290 | Winrate: 100.0% | Trades: 245 | Daily: 4.31 | PnL: $98.92 | Status: accepted
150. 0x30a67221a9a73e00165cf06a120b5812863912a6 | Winrate: 100.0% | Trades: 21 | Daily: 0.62 | PnL: $91.32 | Status: rejected
151. 0x85a285d0f6b1d1077357c3b47a4d9099179131d8 | Winrate: 100.0% | Trades: 35 | Daily: 0.13 | PnL: $66.16 | Status: rejected
152. 0xccc8c923a8dbbdd5e3dc8fc95dbf3c6f1888e152 | Winrate: 100.0% | Trades: 5 | Daily: 0.00 | PnL: $65.03 | Status: rejected
153. 0x85570fbfc954b1da5fea3f31bac0450f168e66f6 | Winrate: 100.0% | Trades: 34 | Daily: 3.50 | PnL: $46.79 | Status: rejected
154. 0xebe65fbdbc89ed9cdad290e317fff870b5aed09b | Winrate: 100.0% | Trades: 3 | Daily: 3.55 | PnL: $43.57 | Status: rejected
155. 0xe79b0d1798b32fcee7b3194fe193035c6543b82c | Winrate: 100.0% | Trades: 227 | Daily: 0.31 | PnL: $37.63 | Status: accepted
156. 0x6da73c9835a232949f820294427a7bece287536c | Winrate: 100.0% | Trades: 20 | Daily: 0.29 | PnL: $24.28 | Status: rejected
157. 0xf0ba12f88e6e6a5058a8f6f2406269985b300ec1 | Winrate: 100.0% | Trades: 88 | Daily: 16.76 | PnL: $23.12 | Status: accepted
158. 0xbd1a3adfd7b5400ae9255337e82fb8b6855d858e | Winrate: 100.0% | Trades: 57 | Daily: 10.84 | PnL: $15.89 | Status: accepted
159. 0xed48664681c3f5edd5083529dbcff56d71988d8c | Winrate: 100.0% | Trades: 9 | Daily: 7.38 | PnL: $11.88 | Status: rejected
160. 0xc06216cf4afd7362b4aca3d722a2a95b1aa9fc87 | Winrate: 100.0% | Trades: 51 | Daily: 0.41 | PnL: $6.71 | Status: accepted
161. 0xe39fdbc06583eea39264f7c20f42795616ddc040 | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $5.25 | Status: rejected
162. 0x08cd040b9619d1203011a395b23fc432428d4edb | Winrate: 100.0% | Trades: 6 | Daily: 0.00 | PnL: $4.36 | Status: rejected
163. 0x0c73527777a8a691e35fe8ecfa4db6683e26344a | Winrate: 100.0% | Trades: 76 | Daily: 0.36 | PnL: $2.71 | Status: accepted
164. 0x01895fedbe2e9d45b44651c3da7088d7b35ca5e5 | Winrate: 100.0% | Trades: 9 | Daily: 0.00 | PnL: $2.12 | Status: rejected
165. 0xd74dbd7bee68e559824ba9eeb1d6d880653cff5e | Winrate: 100.0% | Trades: 12 | Daily: 20.22 | PnL: $1.72 | Status: rejected
166. 0x5c10c561edc80047dd86ac4440d1c2cf1d38c46d | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $1.55 | Status: rejected
167. 0x613a5e815a5d7ce9f13fab413438928237171c1a | Winrate: 100.0% | Trades: 56 | Daily: 0.22 | PnL: $1.26 | Status: accepted
168. 0x5d72338ed0f0b96446954555a10f7af3974adec2 | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $1.00 | Status: rejected
