# Polymarket Wallets - Expanded Set of 250 (70%+ Winrate)
# Format: address,winrate%,trades,daily_frequency,pnl_total
# Generated by Polymarket Notifier
# Criteria: 70%+ winrate, accepted wallets

# === 100% WINRATE WALLETS ===
  1. 0xed88d69d689f3e2f6d1f77b2e35d089c581df3c4 | Winrate: 100.0% | Trades: 164 | Daily: 18.53 | PnL: $10,324,334.88
 25. 0x16b29c50f2439faf627209b2ac0c7bbddaa8a881 | Winrate: 100.0% | Trades: 247 | Daily: 100.00 | PnL: $677,987.16
 26. 0xead152b855effa6b5b5837f53b24c0756830c76a | Winrate: 100.0% | Trades: 1570 | Daily: 100.00 | PnL: $654,869.52
 27. 0x1fce2f3a01964e84d32ba7a099024662c8882229 | Winrate: 100.0% | Trades: 82 | Daily: 16.81 | PnL: $544,752.27
 28. 0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d | Winrate: 100.0% | Trades: 152 | Daily: 16.77 | PnL: $525,836.72
 29. 0xf705fa045201391d9632b7f3cde06a5e24453ca7 | Winrate: 100.0% | Trades: 273 | Daily: 100.00 | PnL: $512,668.14
 30. 0x821d0fcf5643c18c663c8960bf79fdbc9f6d0a01 | Winrate: 100.0% | Trades: 252 | Daily: 1.61 | PnL: $445,704.45
 31. 0x2005d16a84ceefa912d4e380cd32e7ff827875ea | Winrate: 100.0% | Trades: 4581 | Daily: 22.04 | PnL: $391,113.59
 32. 0x781caf04d98a281712caf1677877c442789fdb68 | Winrate: 100.0% | Trades: 3806 | Daily: 100.00 | PnL: $343,040.27
 33. 0xdaad6f960d507dba148c1ff908db5a28743169cc | Winrate: 100.0% | Trades: 120 | Daily: 0.35 | PnL: $278,261.25
 34. 0x4d451aef961e65384998ca3053dab82a122a9054 | Winrate: 100.0% | Trades: 413 | Daily: 100.00 | PnL: $269,934.75
 35. 0x751a2b86cab503496efd325c8344e10159349ea1 | Winrate: 100.0% | Trades: 10237 | Daily: 65.75 | PnL: $259,834.34
 36. 0x8749194e5105c97c3d134e974e103b44eea44ea4 | Winrate: 100.0% | Trades: 4883 | Daily: 100.00 | PnL: $251,253.98
 37. 0xd72753dae1cb01011c1e69af78ee1f9494bbecce | Winrate: 100.0% | Trades: 3619 | Daily: 6.14 | PnL: $221,239.77
 38. 0x1e3a3d3b980255bab982d366ca1fa2b09c104033 | Winrate: 100.0% | Trades: 60 | Daily: 7.61 | PnL: $197,247.98
 39. 0x4231e98f3b1044c3b34bf19cb27b9441d157f63e | Winrate: 100.0% | Trades: 1716 | Daily: 100.00 | PnL: $185,239.09
 40. 0x9fad8308ef6b6ed5320e53a290a3bd4ad91f5a9f | Winrate: 100.0% | Trades: 602 | Daily: 16.59 | PnL: $152,722.88
 41. 0x71971342cb4c2555f60366ac62abdcdd1a1d14c8 | Winrate: 100.0% | Trades: 152 | Daily: 28.80 | PnL: $151,442.43
 42. 0x842dabdbf420acea760af817fe7c85a249179d4d | Winrate: 100.0% | Trades: 2214 | Daily: 100.00 | PnL: $150,187.53
 43. 0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1 | Winrate: 100.0% | Trades: 6925 | Daily: 100.00 | PnL: $107,261.00
 44. 0x6239c6fa473f967d46dab883a09dd327be32c24f | Winrate: 100.0% | Trades: 2652 | Daily: 3.46 | PnL: $93,821.41
 45. 0x8f7bb1d97c28278e28943b8481f1a1651605154b | Winrate: 100.0% | Trades: 768 | Daily: 7.22 | PnL: $87,441.25
 46. 0x1ff49fdcb6685c94059b65620f43a683be0ce7a5 | Winrate: 100.0% | Trades: 13716 | Daily: 100.00 | PnL: $79,598.78
 47. 0x9155e8cf81a3fb557639d23d43f1528675bcfcad | Winrate: 100.0% | Trades: 8070 | Daily: 100.00 | PnL: $64,079.86
 48. 0x4b92a2d2fd3807981a5dddae7315122530a542e6 | Winrate: 100.0% | Trades: 487 | Daily: 20.90 | PnL: $61,816.49
 49. 0x1a4249cd596a8e51b267dfe3c56cacc25815a00b | Winrate: 100.0% | Trades: 4232 | Daily: 100.00 | PnL: $59,343.87
 50. 0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4 | Winrate: 100.0% | Trades: 1762 | Daily: 17.83 | PnL: $55,155.97
 51. 0x76ed2caa9604f3a3b3770d47161190d871f1fa48 | Winrate: 100.0% | Trades: 120 | Daily: 10.46 | PnL: $48,008.09
 52. 0xc631d9d610b9939f0b915b1916864e9b806876f6 | Winrate: 100.0% | Trades: 8562 | Daily: 100.00 | PnL: $44,333.51
 53. 0xec5d271addfd4d224e8974a45dd2183aef5add4e | Winrate: 100.0% | Trades: 1895 | Daily: 100.00 | PnL: $40,390.95
 54. 0x4bc26247abd4c4f908c786c4873acd49beb2597a | Winrate: 100.0% | Trades: 173 | Daily: 13.22 | PnL: $38,653.50
 55. 0x7485d661b858b117a66e1b4fcbecfaea87ac1393 | Winrate: 100.0% | Trades: 8947 | Daily: 100.00 | PnL: $37,465.08
 56. 0x577346971f8d0a1338bc340a7f540a0b6f1ddc71 | Winrate: 100.0% | Trades: 2366 | Daily: 100.00 | PnL: $33,329.56
 57. 0x4ef0194e8cfd5617972665826f402836ac5f15a0 | Winrate: 100.0% | Trades: 7371 | Daily: 100.00 | PnL: $32,819.96
 58. 0x565c29a430e7e835f81196a1ca2bdae928ac467e | Winrate: 100.0% | Trades: 3072 | Daily: 100.00 | PnL: $32,402.64
 59. 0x0f863d92dd2b960e3eb6a23a35fd92a91981404e | Winrate: 100.0% | Trades: 7058 | Daily: 100.00 | PnL: $31,171.32
 60. 0x0a61e40ebf154825b164382cd932ece781cf2c6b | Winrate: 100.0% | Trades: 206 | Daily: 2.04 | PnL: $26,381.26
 61. 0xf247584e41117bbbe4cc06e4d2c95741792a5216 | Winrate: 100.0% | Trades: 3882 | Daily: 100.00 | PnL: $25,560.70
 62. 0x557bed924a1bb6f62842c5742d1dc789b8d480d4 | Winrate: 100.0% | Trades: 960 | Daily: 100.00 | PnL: $25,150.79
 63. 0xcd91a549956854fdc38efad7e80ff5da8f5432b8 | Winrate: 100.0% | Trades: 4939 | Daily: 100.00 | PnL: $22,517.87
 64. 0xcbb5623096b78505a26524e642c5c9066e585ed9 | Winrate: 100.0% | Trades: 349 | Daily: 2.13 | PnL: $22,467.81
 65. 0xcfcaa0ac3eeca8c0309133d43b2ea4a9175c68fc | Winrate: 100.0% | Trades: 323 | Daily: 8.85 | PnL: $21,602.03
 66. 0x5f4d4927ea3ca72c9735f56778cfbb046c186be0 | Winrate: 100.0% | Trades: 5484 | Daily: 100.00 | PnL: $21,577.22
 67. 0x1d949489f736378cbde40db18c093c5cff459100 | Winrate: 100.0% | Trades: 266 | Daily: 100.00 | PnL: $21,100.70
 68. 0xa540e7ff75ef4bf7ebc6c793cbabe87cee970b43 | Winrate: 100.0% | Trades: 3177 | Daily: 100.00 | PnL: $20,771.45
 69. 0x908aad3bfbd70410e73f1db6a3e46c2a917cad16 | Winrate: 100.0% | Trades: 1502 | Daily: 100.00 | PnL: $19,572.44
 70. 0xca85f4b9e472b542e1df039594eeaebb6d466bf2 | Winrate: 100.0% | Trades: 8391 | Daily: 100.00 | PnL: $17,083.58
 71. 0xf10f86f22f2489a631d75371ce0f8d821957004d | Winrate: 100.0% | Trades: 2359 | Daily: 23.15 | PnL: $16,759.37
 72. 0x169a6428a5e5354fc256b66c5465231f918dc46a | Winrate: 100.0% | Trades: 92 | Daily: 4.95 | PnL: $14,565.31
 73. 0x08052d80ffe580e132fa94d66619f80aff2b31c0 | Winrate: 100.0% | Trades: 80 | Daily: 26.61 | PnL: $12,697.24
 74. 0x537494c54dee9162534675712f2e625c9713042e | Winrate: 100.0% | Trades: 5337 | Daily: 100.00 | PnL: $11,815.19
 75. 0xde0c629bc1e98aacbba3e1152a42f9348cd009a7 | Winrate: 100.0% | Trades: 3507 | Daily: 100.00 | PnL: $11,503.89
 76. 0xe6cbefad4e8c1d286f47e84e333b4075c2ea2b12 | Winrate: 100.0% | Trades: 538 | Daily: 100.00 | PnL: $10,746.33
 77. 0xe35a260d16a4dfb68e6df8822628272694367c26 | Winrate: 100.0% | Trades: 339 | Daily: 100.00 | PnL: $8,679.79
 78. 0xc6e2f4259e4c6e4da9007fa7175f0d8a2a7611d1 | Winrate: 100.0% | Trades: 3025 | Daily: 53.96 | PnL: $8,641.75
 79. 0xbed0d1ec25fa20b268f9ea66eb145d1262f73c7d | Winrate: 100.0% | Trades: 1584 | Daily: 59.10 | PnL: $8,079.27
 80. 0x24234df874a7ee6256d5a195fd095f49ff7b4137 | Winrate: 100.0% | Trades: 453 | Daily: 100.00 | PnL: $6,624.60
 81. 0x0d93b6645d7c7730dea3e8912d1ef1618ead8cbe | Winrate: 100.0% | Trades: 286 | Daily: 4.76 | PnL: $5,463.32
 82. 0x8b4410e877fa826c7e986dfb30a5be73d72163fb | Winrate: 100.0% | Trades: 1023 | Daily: 36.25 | PnL: $5,329.19
 83. 0xe7093c9bde3c74f06fabd65387450c8fa3169d39 | Winrate: 100.0% | Trades: 97 | Daily: 15.62 | PnL: $4,834.26
 84. 0x5b87d38577b2811179b7aa8f2cddc65d7046b6bd | Winrate: 100.0% | Trades: 113 | Daily: 100.00 | PnL: $4,124.77
 85. 0xc95c799fc7f181bce06f8a5677f300efea56cef3 | Winrate: 100.0% | Trades: 544 | Daily: 1.82 | PnL: $3,900.87
 86. 0x605d80660ed7cc251961373123f152e5fcbc52de | Winrate: 100.0% | Trades: 71 | Daily: 100.00 | PnL: $3,784.24
 87. 0xadd46422f82bd37a7086806e0c6d0183d6b435de | Winrate: 100.0% | Trades: 907 | Daily: 36.05 | PnL: $3,772.11
 88. 0x25bfc5364d26671ee6620fbb9f3cd13a69bf7a56 | Winrate: 100.0% | Trades: 686 | Daily: 20.89 | PnL: $3,647.22
 89. 0xf1f7df94417dbfdbf8fe4924580817da1e3ffa11 | Winrate: 100.0% | Trades: 263 | Daily: 1.35 | PnL: $3,385.11
 90. 0x691996566d70f14a175a39470c7935f09336d27b | Winrate: 100.0% | Trades: 279 | Daily: 61.49 | PnL: $3,167.17
 91. 0xc8ee861a982a8fc53942b063f7f0e1785baaefe0 | Winrate: 100.0% | Trades: 111 | Daily: 66.75 | PnL: $2,641.25
 92. 0x1ccc04c082be43f715b226c7548cd0a3553297eb | Winrate: 100.0% | Trades: 176 | Daily: 33.08 | PnL: $2,578.64
 93. 0x4fa44d1869fff693a9016dcfa7a8a13a90efa1bf | Winrate: 100.0% | Trades: 228 | Daily: 100.00 | PnL: $1,922.05
 94. 0x66a1db98713015330a82f08273b682bee77e80d9 | Winrate: 100.0% | Trades: 2892 | Daily: 7.60 | PnL: $1,830.98
 95. 0x60fb7e419b16a8dbb88d60144afd32eb264048ef | Winrate: 100.0% | Trades: 86 | Daily: 26.74 | PnL: $1,825.58
 96. 0xddbcb1c15e19f2f11aa79e5f58395bffcb2e28c3 | Winrate: 100.0% | Trades: 259 | Daily: 3.85 | PnL: $1,584.47
 97. 0x9b89a39656c2ec63311948f4b6c4adeb569599e2 | Winrate: 100.0% | Trades: 254 | Daily: 100.00 | PnL: $1,516.32
 98. 0x3185e08ab54a7e2243231eee1e4ebd1ce023937a | Winrate: 100.0% | Trades: 87 | Daily: 0.71 | PnL: $1,481.76
 99. 0x30f891cc7ef02c536de1026acdcc95464127b824 | Winrate: 100.0% | Trades: 111 | Daily: 4.17 | PnL: $1,353.91
100. 0x22c878588fae7bcc4ad0d81d872dfcc101d1d3f3 | Winrate: 100.0% | Trades: 450 | Daily: 100.00 | PnL: $1,202.32
101. 0x227238f7b4c160a4e07207e0d8a18e90c4832e9c | Winrate: 100.0% | Trades: 1891 | Daily: 13.15 | PnL: $1,075.53
102. 0x3de6af3ba7079b10feba44acbfcb80aba775405c | Winrate: 100.0% | Trades: 141 | Daily: 16.04 | PnL: $1,038.49
103. 0x53f408364f77b796ffcfa905ea85fb095fd70e38 | Winrate: 100.0% | Trades: 71 | Daily: 2.49 | PnL: $1,025.10
104. 0xe1a95f4b8f48916030ae84955760fa64da5c428d | Winrate: 100.0% | Trades: 58 | Daily: 97.00 | PnL: $957.08
105. 0x6a7640ee117e5192f2620c5e2e3dedbe5ede51b7 | Winrate: 100.0% | Trades: 261 | Daily: 6.62 | PnL: $916.15
106. 0x38eb932e7ae42b4202b5bfeac3467f758164a211 | Winrate: 100.0% | Trades: 90 | Daily: 1.12 | PnL: $876.73
107. 0x6c1f3cbe8e78d2b8dbf35dcbb0d5945e32606823 | Winrate: 100.0% | Trades: 76 | Daily: 2.14 | PnL: $809.70
108. 0xf6720ad10c81a0be3b5907bca774bf1ca5c2c3c4 | Winrate: 100.0% | Trades: 170 | Daily: 22.12 | PnL: $782.94
109. 0x80ab6ab7646efb38367ea5a180f29042fab16c7a | Winrate: 100.0% | Trades: 333 | Daily: 100.00 | PnL: $704.52
110. 0x4d86d2e2f8c9a5d824aaa8d0b39d8629839153ce | Winrate: 100.0% | Trades: 320 | Daily: 100.00 | PnL: $658.24
111. 0x6b46a3f6764c122a5f3c733684e19890c0334f6e | Winrate: 100.0% | Trades: 78 | Daily: 26.06 | PnL: $646.53
112. 0x65b0c6eaf084219d72167739cdb46aa0aed72875 | Winrate: 100.0% | Trades: 519 | Daily: 100.00 | PnL: $635.03
113. 0xb1e9b1c0d291d47f3e777b0e4b1954155faff4a5 | Winrate: 100.0% | Trades: 472 | Daily: 49.92 | PnL: $621.89
114. 0x55173bc7f6e52f45ec05fd14fbc6f34e81b6e334 | Winrate: 100.0% | Trades: 1811 | Daily: 100.00 | PnL: $546.01
115. 0x369956d03aba746f4fa3ec9f17cefee0375f80d1 | Winrate: 100.0% | Trades: 122 | Daily: 6.31 | PnL: $460.45
116. 0x4292665eeebef323c3cb0b21ef10e66b0bf777d1 | Winrate: 100.0% | Trades: 86 | Daily: 0.32 | PnL: $429.48
117. 0xade7126ef6be560bde90c892a702acd1662a9d34 | Winrate: 100.0% | Trades: 333 | Daily: 14.21 | PnL: $399.90
118. 0x3abe0b6b6b6dae718e40ef1eb16803a0380fb676 | Winrate: 100.0% | Trades: 76 | Daily: 2.11 | PnL: $394.31
119. 0x671a1feca9938c55f57e77c1ac9d85c9e29a0a6d | Winrate: 100.0% | Trades: 119 | Daily: 20.83 | PnL: $380.82
120. 0x24431b45390dfc93c06d90940593e6ab8db0354c | Winrate: 100.0% | Trades: 64 | Daily: 8.90 | PnL: $339.49
121. 0x6be177e9300cd921f7aafb9e674e0f605fad36d8 | Winrate: 100.0% | Trades: 92 | Daily: 2.03 | PnL: $324.67
122. 0x970a9581c2c008cfd17095a86128e422ec704d1e | Winrate: 100.0% | Trades: 179 | Daily: 11.29 | PnL: $247.56
123. 0x685f738bb000053daa6d44b797468cc6a69bda8d | Winrate: 100.0% | Trades: 119 | Daily: 0.27 | PnL: $176.39
124. 0x2f9bd82fd456f6b659542f92186e4706b4ba53f8 | Winrate: 100.0% | Trades: 156 | Daily: 72.71 | PnL: $161.50
125. 0xc69a043a20e5879386de8142fe0e085fe8c5e9f7 | Winrate: 100.0% | Trades: 155 | Daily: 3.21 | PnL: $151.50
126. 0x31974a9cf9e06cc1cf84e22a4955c69d7415b9ac | Winrate: 100.0% | Trades: 829 | Daily: 21.93 | PnL: $147.48
127. 0xa9d8fa0aa2aff4ac6555c8364d0b020c6f7804b3 | Winrate: 100.0% | Trades: 174 | Daily: 25.10 | PnL: $132.60
128. 0xfde08f1b4acf000ea6de1f9990e88b6cae74c132 | Winrate: 100.0% | Trades: 89 | Daily: 41.26 | PnL: $121.33
129. 0xdb9f99f2d5cc9d5b4920f9b042d6b4a0ded0cce2 | Winrate: 100.0% | Trades: 74 | Daily: 0.15 | PnL: $120.28
130. 0xd73fc0ce65990cb53134ad645a2aafbc7df6ee84 | Winrate: 100.0% | Trades: 92 | Daily: 100.00 | PnL: $112.30
131. 0xcfee75533932a5aa0dfc9a2ce5f5d0e0a5821290 | Winrate: 100.0% | Trades: 245 | Daily: 4.31 | PnL: $98.92
132. 0xe79b0d1798b32fcee7b3194fe193035c6543b82c | Winrate: 100.0% | Trades: 227 | Daily: 0.31 | PnL: $37.63
133. 0xf0ba12f88e6e6a5058a8f6f2406269985b300ec1 | Winrate: 100.0% | Trades: 88 | Daily: 16.76 | PnL: $23.12
134. 0xbd1a3adfd7b5400ae9255337e82fb8b6855d858e | Winrate: 100.0% | Trades: 57 | Daily: 10.84 | PnL: $15.89
135. 0xc06216cf4afd7362b4aca3d722a2a95b1aa9fc87 | Winrate: 100.0% | Trades: 51 | Daily: 0.41 | PnL: $6.71
136. 0x0c73527777a8a691e35fe8ecfa4db6683e26344a | Winrate: 100.0% | Trades: 76 | Daily: 0.36 | PnL: $2.71
137. 0x613a5e815a5d7ce9f13fab413438928237171c1a | Winrate: 100.0% | Trades: 56 | Daily: 0.22 | PnL: $1.26
138. 0x6ff3ea81700aea829dfbce2e26d50a5c7005a768 | Winrate: 100.0% | Trades: 80 | Daily: 0.47 | PnL: $0.77
139. 0x30cf35563c2e528f47cbe4f280e4f937d40828d7 | Winrate: 100.0% | Trades: 50 | Daily: 0.23 | PnL: $0.66

# === 80-89% WINRATE WALLETS ===
140. 0x77add09dc3203df69184179d4ac49e23bac6ba8a | Winrate: 88.0% | Trades: 50 | Daily: 7.01 | PnL: $2,480.59
141. 0xc9af3f93f3a727191de4cb92a18a979ba3e76371 | Winrate: 86.4% | Trades: 57 | Daily: 4.02 | PnL: $100,568.87

# === 70-79% WINRATE WALLETS ===
142. 0x8258dc7a35be754750fe618932b96e04e945389a | Winrate: 71.4% | Trades: 54 | Daily: 4.82 | PnL: $16.02

# Summary:
# Total wallets: 142
# 100% winrate: 139
# 90-99% winrate: 0
# 80-89% winrate: 2
# 70-79% winrate: 1
# Total PnL: $78,876,617.41
# Average trades per wallet: 1628.1
# Average daily frequency: 45.87
# Average winrate: 99.62%
